Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Jonathan Byrd,76,61.58,2014,288.1,64.89,29.1,58.02,71.083,383,,1,-0.271,-0.298,0.079,-0.265,0.159,617014
Hideki Matsuyama,82,61.52,2014,294.8,64.03,28.88,60.42,70.083,"1,287",1,4,-0.393,1.152,0.325,1.022,0.198,2837477
Adam Scott,68,61.51,2014,303.5,68.79,28.76,60.73,69.205,"1,479",1,8,0.22,1.72,0.725,0.61,0.166,4098588
Robert Allenby,83,61.47,2014,284.9,67.63,29.85,59.96,70.92,438,,,-0.163,0.105,-0.05,0.552,-0.234,514288
Woody Austin,63,61.45,2014,278.5,60.83,29.14,54.81,71.743,225,,,-0.137,-0.833,-0.318,-0.169,-0.21,292824
Kevin Kisner,85,61.43,2014,287.8,65.29,28.78,56.69,70.718,587,,3,0.388,0.397,0.049,0.076,-0.116,954497
Troy Merritt,62,61.43,2014,285.2,65.05,29.18,56.15,70.9,499,,1,0.024,-0.099,-0.213,0.261,-0.171,882864
Willy Wilcox,51,61.4,2014,297.3,66.89,29.59,58.9,70.819,362,,2,-0.204,0.349,0.487,0.203,-0.138,586159
Sangmoon Bae,76,61.39,2014,288.5,62.94,28.88,57.4,71.168,466,,,0.418,0.216,0.179,-0.299,-0.081,718111
Ian Poulter,57,61.35,2014,288.1,62.4,28.64,58.05,70.722,657,,2,0.067,-0.038,0.042,-0.176,0.028,1616693
Martin Kaymer,65,61.27,2014,294.9,64.58,29,53.43,70.468,"1,525",2,3,-0.111,0.244,0.279,0.37,-0.294,4532537
